2025/09/23 21:44:35 Starting backend API server on port 3001
2025/09/23 21:44:35 Backend API server starting on port 3001
2025/09/23 21:44:35 Also serving frontend static files from /Users/mbengtss/code/src/github.com/cldmnky/summit-connect-stockholm-2025/frontend

 ┌───────────────────────────────────────────────────┐ 
 │         Summit Connect Stockholm 2025 API         │ 
 │                   Fiber v2.52.9                   │ 
 │               http://127.0.0.1:3001               │ 
 │       (bound on host 0.0.0.0 and port 3001)       │ 
 │                                                   │ 
 │ Handlers ............ 12  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 98726 │ 
 └───────────────────────────────────────────────────┘ 

21:47:28 | 200 |       7.708µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:28 | 200 |      10.958µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:28 | 200 |     237.875µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:28 | 200 |       4.417µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:30 | 200 |       299.5µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:30 | 200 |       2.042µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:31 | 200 |     445.375µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:31 | 200 |       7.125µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:31 | 200 |       7.167µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:32 | 200 |     405.916µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:32 | 200 |       8.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:33 | 200 |     715.333µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:33 | 200 |       6.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:35 | 200 |     785.584µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:35 | 200 |       6.666µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:36 | 200 |     237.333µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:36 | 200 |           3µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:38 | 200 |    1.519041ms | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:38 | 200 |         5.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:38 | 200 |         7.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:38 | 200 |     456.667µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:38 | 200 |       8.166µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:40 | 200 |    1.160834ms | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:40 | 200 |     201.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:41 | 200 |     355.833µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:41 | 200 |       5.167µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:41 | 200 |       2.167µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:41 | 200 |         8.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:43 | 200 |    1.439375ms | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:43 | 200 |       8.583µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:43 | 200 |       1.834µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:43 | 200 |       4.459µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:43 | 200 |     477.083µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:43 | 200 |       3.583µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:43 | 200 |       1.708µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:45 | 200 |     591.208µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:45 | 200 |       5.833µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:46 | 200 |     413.833µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:46 | 200 |           4µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:46 | 200 |         3.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:48 | 200 |     276.416µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:48 | 200 |       1.959µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:48 | 200 |       1.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:48 | 200 |     560.292µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:48 | 200 |       5.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:48 | 200 |       2.584µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:50 | 200 |     564.167µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:50 | 200 |       7.208µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:51 | 200 |     379.375µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:47:51 | 200 |         5.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:51 | 200 |       1.958µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:51 | 200 |        3.75µs | 127.0.0.1 | GET | /datacenters.json | -
21:47:52 | 200 |     403.542µs | 127.0.0.1 | GET | /api/v1/migrate | -
